id,单价,总价,区,小区,户型,面积,朝向,装修,是否有电梯,关注人数,带看人数,发布时间,地区,楼,建楼年份,楼层
24,50179,450,盐田,倚山花园三期  , 3室2厅 ,89.68, 西南 东北 , 毛坯 ,1,9,36, 8个月以前发布,  沙头角,30,2015,中
25,46798,160,盐田,华逸园  , 1室1厅 ,34.19, 东 , 简装 ,0,36,35, 一年前发布,  沙头角,7,2003,高
26,45542,430,盐田,瀚海翠庭  , 3室1厅 ,94.42, 西南 , 其他,0,14,35, 8个月以前发布,  沙头角,28,2003,高
27,47340,420,盐田,中海半山溪谷花园  , 3室2厅 ,88.72, 西北 , 精装 ,1,46,35, 一年前发布,  盐田港,8,2008,中
28,52522,750,盐田,海山道1号  , 3室1厅 ,142.8, 西南 , 其他,0,10,35, 3个月以前发布,  沙头角,26,2011,高
29,47477,380,盐田,倚山花园三期  , 2室2厅 ,80.04, 东北 , 其他 ,1,19,35, 一年前发布,  沙头角,32,2015,低
30,59349,525,盐田,倚山花园三期  , 3室2厅 ,88.46, 南 北 , 其他 ,1,14,34, 一年前发布,  沙头角,43,2015,高
31,54080,570,盐田,桐林半山花园  , 3室1厅 ,105.4, 东南 , 精装 ,1,12,34, 一年前发布,  沙头角,10,2007,中
32,37943,740,盐田,半山半海  , 4室2厅 ,195.03, 南 北 , 毛坯 ,1,48,33, 一年前发布,  盐田港,22,2015,低
33,66316,630,盐田,海天一色雅居  , 3室2厅 ,95, 南 , 精装 ,1,1,31, 一年前发布,  沙头角,9,2001,低
34,52786,470,盐田,倚山花园三期  , 3室1厅 ,89.04, 西南 , 其他 ,1,0,31, 5个月以前发布,  沙头角,43,2015,中
35,42858,180,盐田,花样年花港家园  , 2室1厅 ,42, 东南 , 简装 ,1,103,29, 2个月以前发布,  盐田港,33,2008,中
36,63296,398,盐田,梧桐春晓花园  , 3室1厅 ,62.88, 东南 , 简装 ,1,11,29, 3个月以前发布,  盐田港,28,2015,中
37,47734,418,盐田,碧海蓝天名苑  , 3室2厅 ,87.57, 南 , 其他 ,1,16,28, 9个月以前发布,  沙头角,32,2002,低
38,43679,380,盐田,碧桐海苑  , 3室1厅 ,87, 北 , 精装,0,30,27, 10个月以前发布,  沙头角,32,2005,低
39,41128,213,盐田,华逸园  , 2室1厅 ,51.79, 南 , 其他 ,0,42,26, 7个月以前发布,  沙头角,7,2003,高
40,55986,420,盐田,海山道1号  , 2室1厅 ,75.02, 东南 , 其他,0,9,26, 4个月以前发布,  沙头角,32,2011,高
41,48296,425,盐田,倚山花园三期  , 2室1厅 ,88, 南 , 其他 ,1,7,25, 一年前发布,  沙头角,30,2015,中
42,46857,398,盐田,梧桐春晓花园  , 3室1厅 ,84.94, 东南 , 其他 ,1,14,25, 8个月以前发布,  盐田港,28,2015,低
43,28094,195,盐田,天利明园大厦  , 2室1厅 ,69.41, 西北 , 其他 ,1,111,25, 6个月以前发布,  盐田港,13,2002,中
44,32091,290,盐田,翠景花园  , 4室1厅 ,90.37, 东南 , 简装,0,31,25, 一年前发布,  沙头角,8,1998,高
45,41680,270,盐田,君临海域  , 2室1厅 ,64.78, 西南 , 其他 ,1,16,25, 6个月以前发布,  沙头角,31,2015,低
46,40451,755,盐田,东部阳光  , 4室1厅 ,186.65, 南 , 精装 ,1,12,24, 一年前发布,  沙头角,12,2001,高
47,47888,340,盐田,碧桐海苑  , 2室1厅 ,71, 南 , 精装 ,1,20,23, 一年前发布,  沙头角,32,2005,低
48,66708,218,盐田,倚山花园三期  , 1室0厅 ,32.68, 东南 , 毛坯 ,1,9,22, 一年前发布,  沙头角,31,2015,中
49,47317,410,盐田,倚山花园三期  , 2室2厅 ,86.65, 西南 , 其他,0,14,22, 7个月以前发布,  沙头角,30,2015,高
50,39776,170,盐田,花样年花港家园  , 2室1厅 ,42.74, 东北 , 其他,0,94,22, 2个月以前发布,  盐田港,33,2008,中
51,51190,269,盐田,桐林半山花园  , 2室1厅 ,52.55, 南 , 其他 ,1,29,22, 1个月以前发布,  沙头角,10,2007,中
52,59371,530,盐田,倚山花园三期  , 3室2厅 ,89.27, 东北 , 其他 ,1,1,21, 11个月以前发布,  沙头角,42,2015,高
53,65155,560,盐田,上东湾  , 4室2厅 ,85.95, 西南 , 其他 ,1,11,21, 一年前发布,  沙头角,32,2012,低
54,47561,195,盐田,碧桐海苑  , 1室1厅 ,41, 东南 , 其他 ,1,22,21, 9个月以前发布,  沙头角,32,2005,低
55,49220,435,盐田,玺悦山  , 4室2厅 ,88.38, 南 , 其他,0,14,21, 6个月以前发布,  盐田港,31,2016,中
56,63891,560,盐田,倚山花园三期  , 4室1厅 ,87.65, 南 , 精装,0,17,21, 9个月以前发布,  沙头角,31,2015,低
57,50944,170,盐田,倚山时代雅居  , 2室1厅 ,33.37, 东北 , 其他 ,1,54,21, 3个月以前发布,  盐田港,21,2009,高
58,57030,445,盐田,倚山花园三期  , 3室2厅 ,78.03, 东南 , 其他 ,1,17,21, 8个月以前发布,  沙头角,31,2015,低
59,42929,265,盐田,东部翠海轩  , 2室1厅 ,61.73, 东南 , 其他,0,32,21, 7个月以前发布,  沙头角,12,2007,高
60,44021,240,盐田,昊海君悦  , 3室1厅 ,54.52, 东 , 其他 ,1,41,20, 6个月以前发布,  沙头角,32,2013,中
61,41680,270,盐田,君临海域  , 2室2厅 ,64.78, 南 , 其他 ,1,15,20, 6个月以前发布,  沙头角,31,2015,低
62,37544,280,盐田,中海半山溪谷花园  , 2室1厅 ,74.58, 东南 , 其他 ,1,45,19, 8个月以前发布,  盐田港,10,2008,低
63,35096,150,盐田,花样年花港家园  , 1室1厅 ,42.74, 东北 , 其他 ,1,6,19, 28天以前发布,  盐田港,33,2008,低
64,55265,495,盐田,倚山花园三期  , 3室1厅 ,89.57, 东南 , 其他 ,1,6,19, 3个月以前发布,  沙头角,42,2015,中
65,46342,190,盐田,碧桐海苑  , 1室1厅 ,41, 东南 , 其他,0,4,19, 3个月以前发布,  沙头角,32,2005,低
66,44658,400,盐田,中海半山溪谷花园  , 3室2厅 ,89.57, 西北 , 精装 ,1,15,18, 一年前发布,  盐田港,8,2008,中
67,41508,260,盐田,东海丽景花园  , 2室2厅 ,62.64, 东南 , 其他 ,1,26,18, 3个月以前发布,  盐田港,25,2006,中
68,42167,130,盐田,碧桐湾  , 1室0厅 ,30.83, 东南 , 其他 ,1,5,18, 4个月以前发布,  沙头角,30,2004,中
69,46630,415,盐田,倚山花园三期  , 2室1厅 ,89, 西南 , 毛坯 ,1,15,18, 9个月以前发布,  沙头角,42,2015,中
70,50195,168,盐田,倚山时代雅居  , 2室1厅 ,33.47, 北 , 简装 ,1,83,18, 2个月以前发布,  盐田港,21,2009,低
71,37500,195,盐田,金水湾御园  , 2室1厅 ,52, 南 , 其他 ,1,27,17, 6个月以前发布,  盐田港,23,2008,中
72,37674,320,盐田,翠景花园  , 3室2厅 ,84.94, 东南 , 其他 ,0,5,17, 6个月以前发布,  沙头角,8,1998,中
73,41686,370,盐田,中海半山溪谷花园  , 3室1厅 ,88.76, 东南 , 精装 ,1,39,17, 7个月以前发布,  盐田港,8,2008,中
74,45252,213,盐田,金水湾御园  , 2室1厅 ,47.07, 东北 , 精装 ,1,35,17, 一年前发布,  盐田港,23,2008,高
75,64531,570,盐田,上东湾  , 3室2厅 ,88.33, 西南 , 精装,0,8,17, 6个月以前发布,  沙头角,32,2012,中
76,41124,366,盐田,中海半山溪谷花园  , 3室2厅 ,89, 东 , 简装 ,0,13,17, 3个月以前发布,  盐田港,6,2008,低
77,55682,515,盐田,东埔海景花园二期  , 3室2厅 ,92.49, 东南 , 简装,0,7,16, 4个月以前发布,  沙头角,16,2003,中
78,38372,280,盐田,中海半山溪谷花园  , 2室1厅 ,72.97, 东南 , 简装,0,43,16, 2个月以前发布,  盐田港,8,2008,低
79,50926,660,盐田,倚山花园三期  , 3室1厅 ,129.6, 南 , 其他 ,1,5,16, 5个月以前发布,  沙头角,31,2015,低
80,56135,840,盐田,海山道1号  , 3室2厅 ,149.64, 东南 , 其他 ,1,18,15, 8个月以前发布,  沙头角,32,2011,中
81,60181,660,盐田,海天一色雅居  , 3室2厅 ,109.67, 南 , 其他 ,1,3,15, 7个月以前发布,  沙头角,9,2001,中
82,27976,185,盐田,东海龙腾公寓  , 2室1厅 ,66.13, 西南 , 简装 ,1,64,15, 一年前发布,  盐田港,5,2008,中
83,46667,168,盐田,蓝田壹站  , 2室1厅 ,36, 东 , 其他 ,1,14,15, 一年前发布,  沙头角,19,2002,中
84,51329,251.1,盐田,倚山时代雅居  , 2室2厅 ,48.92, 南 , 其他 ,1,26,15, 一年前发布,  盐田港,21,2009,高
85,54717,580,盐田,瀚海東岸  , 3室2厅 ,106, 东南 , 其他 ,1,21,15, 7个月以前发布,  沙头角,26,2005,高
86,48384,440,盐田,蓝色海月居  , 3室2厅 ,90.94, 南 , 精装 ,1,7,15, 1个月以前发布,  沙头角,11,2001,高
87,58495,450,盐田,东埔海景花园二期  , 2室2厅 ,76.93, 东 , 精装 ,1,5,15, 10个月以前发布,  沙头角,16,2003,低
88,41870,275,盐田,碧桐海苑  , 2室1厅 ,65.68, 东北 , 其他 ,1,19,14, 7个月以前发布,  沙头角,32,2005,中
89,45674,615,盐田,中海半山溪谷花园  , 4室2厅 ,134.65, 东南 , 其他 ,1,11,14, 4个月以前发布,  盐田港,8,2007,中
90,39461,360,盐田,东港印象二期  , 3室2厅 ,91.23, 南 北 , 精装 ,1,45,14, 8个月以前发布,  盐田港,31,2011,中
91,42832,164,盐田,东港印象  , 1室1厅 ,38.29, 西北 , 其他 ,1,13,14, 4个月以前发布,  盐田港,19,2012,低
92,46353,230,盐田,蓝田壹站  , 2室1厅 ,49.62, 东 , 其他 ,1,23,14, 5个月以前发布,  沙头角,19,2002,低
93,36400,186,盐田,浩海明珠  , 2室1厅 ,51.1, 东南 , 其他,0,37,14, 4个月以前发布,  盐田港,18,2015,中
94,44613,400,盐田,鹏湾花园一村  , 3室1厅 ,89.66, 南 , 其他 ,0,3,14, 5个月以前发布,  沙头角,8,1995,中
95,38547,280,盐田,翠景花园瑞林苑  , 3室1厅 ,72.64, 东南 , 其他 ,0,3,13, 4个月以前发布,  沙头角,7,1998,中
96,46125,410,盐田,万科东海岸  , 2室2厅 ,88.89, 南 , 其他 ,1,20,13, 6个月以前发布,  梅沙,16,2008,低
97,48485,240,盐田,蓝田壹站  , 2室1厅 ,49.5, 东 , 精装 ,1,24,13, 一年前发布,  沙头角,19,2002,中
98,55346,760,盐田,海山道1号  , 3室1厅 ,137.32, 西 , 其他 ,1,5,13, 4个月以前发布,  沙头角,22,2011,中
99,34008,185,盐田,万科东海岸  , 1室0厅 ,54.4, 东 东南 , 简装 ,1,36,13, 一年前发布,  梅沙,7,2002,中
100,41443,200,盐田,金水湾御园  , 1室1厅 ,48.26, 南 , 精装 ,1,34,12, 一年前发布,  盐田港,23,2008,高
101,52302,175,盐田,倚山时代雅居  , 2室1厅 ,33.46, 东北 , 其他 ,1,40,12, 8个月以前发布,  盐田港,21,2009,高
102,30670,350,盐田,中信海滨花园  , 3室1厅 ,114.12, 东南 , 其他 ,1,10,12, 4个月以前发布,  沙头角,28,1995,中
103,51961,338,盐田,君临海域  , 2室2厅 ,65.05, 东南 , 精装 ,1,10,12, 5个月以前发布,  沙头角,31,2014,高
104,48959,235,盐田,倚山时代雅居  , 3室1厅 ,48, 东南 , 其他 ,1,78,12, 一年前发布,  盐田港,21,2009,中
105,41864,275,盐田,碧桐海苑  , 2室1厅 ,65.69, 北 , 简装 ,1,16,12, 3个月以前发布,  沙头角,32,2005,中
106,48992,420,盐田,倚山花园三期  , 3室1厅 ,85.73, 东 , 其他 ,1,15,12, 5个月以前发布,  沙头角,32,2015,低
107,41892,280,盐田,君临海域  , 3室2厅 ,66.84, 东南 , 其他 ,1,7,12, 5个月以前发布,  沙头角,31,2015,高
108,45808,425,盐田,蓝色海月居  , 3室2厅 ,92.78, 东南 , 精装 ,1,22,12, 7个月以前发布,  沙头角,11,2002,中
109,52314,450,盐田,梧桐春晓花园  , 3室1厅 ,86.02, 东南 , 精装 ,1,2,12, 1个月以前发布,  盐田港,28,2015,高
110,67192,598,盐田,倚山花园三期  , 3室2厅 ,89, 东南 , 毛坯 ,1,7,11, 一年前发布,  沙头角,30,2015,低
111,51976,580,盐田,桐林半山花园  , 3室2厅 ,111.59, 南 , 其他 ,1,3,11, 8个月以前发布,  沙头角,10,2007,中
112,43393,920,盐田,君临海域  , 3室1厅 ,212.02, 东南 西北 , 其他 ,1,12,11, 6个月以前发布,  沙头角,45,2015,低
113,38904,305,盐田,浩海明珠  , 3室1厅 ,78.4, 东南 , 其他 ,1,27,11, 8个月以前发布,  盐田港,19,2015,中
114,41263,285,盐田,浩海明珠  , 3室1厅 ,69.07, 东南 , 其他 ,1,37,11, 8个月以前发布,  盐田港,19,2015,中
115,55669,495,盐田,鹏广达山海四季城  , 3室1厅 ,88.92, 东南 , 其他,0,4,11, 4个月以前发布,  盐田港,40,2016,高
116,67928,600,盐田,上东湾  , 3室1厅 ,88.33, 西南 , 其他 ,1,0,11, 5个月以前发布,  沙头角,32,2012,高
117,41209,375,盐田,碧桐湾  , 3室2厅 ,91, 东南 , 其他,0,16,11, 8个月以前发布,  沙头角,30,2002,高
118,55669,495,盐田,鹏广达山海四季城  , 3室1厅 ,88.92, 东南 , 其他,0,4,11, 4个月以前发布,  盐田港,40,2016,高
119,39326,280,盐田,中海半山溪谷花园  , 2室1厅 ,71.2, 西北 , 其他 ,1,14,11, 2个月以前发布,  盐田港,10,2008,高
120,67928,600,盐田,上东湾  , 3室1厅 ,88.33, 西南 , 其他 ,1,0,11, 5个月以前发布,  沙头角,32,2012,高
121,44489,295,盐田,碧海蓝天名苑  , 2室1厅 ,66.31, 北 , 其他,0,4,11, 1个月以前发布,  沙头角,32,2002,低
122,46722,295,盐田,东港印象  , 2室1厅 ,63.14, 东南 , 其他,0,19,11, 1个月以前发布,  盐田港,18,2012,中
123,40948,140,盐田,华逸园  , 1室1厅 ,34.19, 西南 , 简装 ,0,26,11, 11个月以前发布,  沙头角,7,2003,中
124,53644,480,盐田,倚山花园三期  , 2室2厅 ,89.48, 东南 , 其他 ,1,0,10, 一年前发布,  沙头角,42,2015,中
125,67435,580,盐田,上东湾  , 3室2厅 ,86.01, 东 西 , 其他 ,1,12,10, 9个月以前发布,  沙头角,32,2012,高
126,40622,298,盐田,中海半山溪谷花园  , 2室1厅 ,73.36, 东南 , 其他 ,1,36,10, 5个月以前发布,  盐田港,8,2008,中
127,32956,195,盐田,花样年花港家园  , 2室1厅 ,59.17, 东北 , 其他 ,1,161,10, 5个月以前发布,  盐田港,33,2008,高
128,41272,270,盐田,玺悦山  , 2室1厅 ,65.42, 北 , 其他,0,12,10, 7个月以前发布,  盐田港,32,2016,低
129,35548,175,盐田,云顶天海  , 1室1厅 ,49.23, 南 , 其他 ,1,12,10, 4个月以前发布,  梅沙,8,2006,低
130,50802,358,盐田,桐林半山花园  , 2室1厅 ,70.47, 西北 , 其他 ,1,12,10, 8个月以前发布,  沙头角,10,2007,中
131,45670,300,盐田,碧桐海苑  , 2室1厅 ,65.69, 北 , 其他,0,1,10, 8个月以前发布,  沙头角,32,2005,低
132,67928,600,盐田,上东湾  , 3室2厅 ,88.33, 西南 , 其他 ,1,0,10, 5个月以前发布,  沙头角,32,2012,高
133,37982,265,盐田,和亨中心广场  , 3室1厅 ,69.77, 东南 , 其他 ,1,21,10, 2个月以前发布,  盐田港,29,2007,低
134,34844,280,盐田,南方明珠花园B区  , 2室2厅 ,80.36, 西南 , 其他 ,1,10,9, 5个月以前发布,  盐田港,11,2002,中
135,52381,1100,盐田,桐林半山花园  , 4室1厅 ,210, 南 , 精装 ,1,5,9, 一年前发布,  沙头角,9,2007,中
136,54167,195,盐田,蓝田壹站  , 2室1厅 ,36, 东南 , 其他 ,1,13,9, 7个月以前发布,  沙头角,19,2002,低
137,50205,590,盐田,瀚海東岸  , 3室1厅 ,117.52, 西南 , 其他 ,1,7,9, 7个月以前发布,  沙头角,26,2005,中
138,59225,530,盐田,倚山花园三期  , 2室2厅 ,89.49, 西南 , 精装 ,1,14,9, 一年前发布,  沙头角,42,2015,中
139,31984,365,盐田,中信海滨花园  , 3室2厅 ,114.12, 东北 , 其他 ,1,13,9, 1个月以前发布,  沙头角,28,1995,低
140,47710,400,盐田,鹏湾花园一村  , 3室2厅 ,83.84, 南 , 其他 ,0,1,9, 9个月以前发布,  沙头角,8,1994,高
141,46265,410,盐田,万科东海岸  , 2室2厅 ,88.62, 南 , 其他 ,1,12,9, 6个月以前发布,  梅沙,16,2008,低
142,65360,220,盐田,海滨假日  , 3室2厅 ,33.66, 西南 , 其他 ,1,47,9, 9个月以前发布,  盐田港,19,2007,低
143,50774,430,盐田,玺悦山  , 3室2厅 ,84.69, 东南 , 其他,0,3,9, 7个月以前发布,  盐田港,31,2016,中
144,43940,290,盐田,碧桐海苑  , 2室1厅 ,66, 西 , 精装,0,21,9, 9个月以前发布,  沙头角,32,2005,中
145,56079,500,盐田,东埔海景花园二期  , 3室2厅 ,89.16, 西南 , 其他 ,1,7,9, 1个月以前发布,  沙头角,16,2003,中
146,44373,315,盐田,瀚海翠庭  , 2室1厅 ,70.99, 东南 , 其他 ,1,20,9, 2个月以前发布,  沙头角,28,2003,中
147,58129,649,盐田,上东湾  , 4室2厅 ,111.65, 南 , 其他,0,4,9, 3个月以前发布,  沙头角,32,2012,高
148,43027,145,盐田,华逸园  , 1室1厅 ,33.7, 北 , 其他 ,0,10,8, 一年前发布,  沙头角,7,2003,低
149,45941,760,盐田,万科东海岸  , 3室2厅 ,165.43, 东南 , 其他 ,1,2,8, 8个月以前发布,  梅沙,9,2004,高
150,46865,420,盐田,金山碧海花园  , 3室2厅 ,89.62, 东南 , 其他 ,1,15,8, 6个月以前发布,  盐田港,16,2010,中
151,44118,150,盐田,华逸园  , 1室1厅 ,34, 南 , 其他 ,0,4,8, 6个月以前发布,  沙头角,7,2003,低
152,46763,325,盐田,盛世名门  , 2室2厅 ,69.5, 北 , 其他 ,1,9,8, 5个月以前发布,  沙头角,24,2009,高
153,53026,248,盐田,海滨假日  , 3室1厅 ,46.77, 西南 , 其他 ,1,12,8, 2个月以前发布,  盐田港,19,2008,中
154,47590,380,盐田,鹏广达山海四季城  , 3室2厅 ,79.85, 东南 , 其他,0,4,8, 3个月以前发布,  盐田港,40,2015,低
155,75686,1600,盐田,壹海城玺湾  , 3室2厅 ,211.4, 东南 , 其他,0,4,8, 6个月以前发布,  沙头角,36,2016,高
156,35229,290,盐田,海都花园  , 2室2厅 ,82.32, 东南 , 其他,0,18,8, 6个月以前发布,  沙头角,27,1997,中
157,66789,770,盐田,东埔海景花园二期  , 4室2厅 ,115.29, 南 , 其他 ,1,7,8, 4个月以前发布,  沙头角,15,2003,高
158,41390,268,盐田,东部翠海轩  , 2室1厅 ,64.75, 东 南 , 精装 ,1,31,8, 3个月以前发布,  沙头角,12,2007,低
159,55918,695,盐田,海山道1号  , 3室1厅 ,124.29, 南 , 其他 ,1,4,8, 2个月以前发布,  沙头角,32,2011,中
160,38205,280,盐田,山泉小区  , 2室1厅 ,73.29, 南 , 其他,0,4,8, 1个月以前发布,  沙头角,8,1990,高
161,63586,710,盐田,上东湾  , 4室2厅 ,111.66, 南 , 其他 ,1,2,8, 6个月以前发布,  沙头角,32,2012,低
162,43532,250,盐田,蓝田壹站  , 2室2厅 ,57.43, 东南 南 , 精装 ,1,27,8, 一年前发布,  沙头角,19,2002,高
163,47233,355,盐田,山海阳光园  , 2室2厅 ,75.16, 西 西北 , 其他 ,1,4,8, 3个月以前发布,  沙头角,14,2011,高
164,33645,360,盐田,海都花园  , 3室2厅 ,107, 西北 , 其他 ,1,9,8, 8个月以前发布,  沙头角,27,1997,高
165,41482,560,盐田,海山居  , 4室1厅 ,135, 南 , 其他 ,1,11,7, 一年前发布,  沙头角,12,2000,低
166,44044,200,盐田,东部阳光  , 2室1厅 ,45.41, 南 西 , 简装 ,1,69,7, 10个月以前发布,  沙头角,11,2001,高
167,52147,390,盐田,倚山花园二期  , 2室1厅 ,74.79, 西南 , 其他 ,1,3,7, 9个月以前发布,  沙头角,11,2004,中
168,54335,220,盐田,碧桐海苑  , 1室1厅 ,40.49, 东 , 其他 ,1,6,7, 6个月以前发布,  沙头角,32,2005,高
169,37504,125,盐田,金水湾御园  , 1室0厅 ,33.33, 西北 , 其他 ,1,4,7, 4个月以前发布,  盐田港,23,2008,中
170,28167,290,盐田,中铁大厦  , 3室2厅 ,102.96, 南 北 , 简装 ,0,22,7, 6个月以前发布,  盐田港,8,1998,中
171,50870,550,盐田,中海半山溪谷花园  , 4室2厅 ,108.12, 东南 , 精装 ,1,8,7, 7个月以前发布,  盐田港,8,2008,高
172,36520,285,盐田,幸福海  , 3室2厅 ,78.04, 东南 , 其他 ,1,29,7, 一年前发布,  盐田港,28,2011,高
173,28479,132,盐田,天利明园大厦  , 1室1厅 ,46.35, 东北 , 其他,0,26,7, 一年前发布,  盐田港,13,2002,高
174,41003,288,盐田,金水湾御园  , 2室2厅 ,70.24, 南 , 其他 ,1,8,7, 7个月以前发布,  盐田港,23,2008,中
175,32542,230,盐田,和亨雅园  , 2室2厅 ,70.68, 东南 , 其他,0,14,7, 2个月以前发布,  盐田港,7,2002,中
176,32542,230,盐田,和亨雅园  , 2室2厅 ,70.68, 东南 , 其他,0,14,7, 2个月以前发布,  盐田港,7,2002,中
177,38209,180,盐田,海川阁  , 1室1厅 ,47.11, 南 , 精装,0,75,7, 3个月以前发布,  盐田港,25,2011,高
178,60111,500,盐田,海天一色雅居  , 3室1厅 ,83.18, 东南 , 其他,0,9,7, 1个月以前发布,  沙头角,9,2001,低
179,43192,275,盐田,东部翠海轩  , 2室2厅 ,63.67, 北 , 简装 ,1,15,7, 2个月以前发布,  沙头角,11,2007,中
180,45215,342,盐田,倚山花园二期  , 2室1厅 ,75.64, 西南 , 其他 ,1,8,7, 2个月以前发布,  沙头角,11,2004,低
181,44698,290,盐田,东部翠海轩  , 3室1厅 ,64.88, 东南 , 其他 ,1,32,7, 4个月以前发布,  沙头角,11,2007,中
182,42089,370,盐田,碧桐海苑  , 3室2厅 ,87.91, 东南 , 其他,0,4,7, 2个月以前发布,  沙头角,32,2005,高
183,41011,375,盐田,诗宁大厦  , 3室1厅 ,91.44, 东南 , 其他,0,0,7, 1个月以前发布,  沙头角,32,1994,高
184,39956,285,盐田,中海半山溪谷花园  , 2室1厅 ,71.33, 东南 , 其他 ,1,30,6, 5个月以前发布,  盐田港,8,2008,低
185,33642,280,盐田,南方明珠花园B区  , 3室2厅 ,83.23, 东南 , 其他 ,0,29,6, 5个月以前发布,  盐田港,8,2002,高
186,59542,195,盐田,海滨假日  , 2室1厅 ,32.75, 东南 , 其他 ,1,14,6, 11个月以前发布,  盐田港,19,2007,中
187,44633,400,盐田,金山碧海花园  , 2室3厅 ,89.62, 东南 , 其他 ,1,11,6, 9个月以前发布,  盐田港,16,2009,低
188,71004,310,盐田,上东湾  , 2室1厅 ,43.66, 东南 , 其他 ,1,3,6, 9个月以前发布,  沙头角,32,2012,低
189,41951,160,盐田,碧桐湾  , 1室1厅 ,38.14, 东 , 其他 ,1,11,6, 9个月以前发布,  沙头角,31,2002,低
190,37059,322,盐田,天丰公寓  , 3室2厅 ,86.89, 东南 , 其他,0,1,6, 8个月以前发布,  沙头角,8,1994,高
191,50777,500,盐田,碧海蓝天名苑  , 4室2厅 ,98.47, 东南 , 精装 ,1,5,6, 8个月以前发布,  沙头角,32,2002,低
192,42396,320,盐田,梅花楼  , 3室2厅 ,75.48, 南 , 其他 ,0,3,6, 8个月以前发布,  沙头角,6,1988,高
193,57972,248,盐田,东部翠海轩  , 2室1厅 ,42.78, 东 , 其他 ,1,26,6, 8个月以前发布,  沙头角,12,2007,高
194,42425,380,盐田,中海半山溪谷花园  , 3室1厅 ,89.57, 东南 西北 , 精装 ,1,18,6, 4个月以前发布,  盐田港,8,2008,高
195,39849,380,盐田,东部阳光  , 3室2厅 ,95.36, 西南 , 其他 ,1,4,6, 7个月以前发布,  沙头角,12,2000,低
196,44445,160,盐田,蓝田壹站  , 1室1厅 ,36, 北 , 简装,0,15,6, 一年前发布,  沙头角,19,2002,高
197,62696,700,盐田,上东湾  , 4室2厅 ,111.65, 西南 , 其他 ,1,8,6, 4个月以前发布,  沙头角,32,2012,中
